	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
45	AK		7				0	Which expression is equivalent to 4z + 5 + 3z?	7z + 5	8z + 4	9z + 5	12z		Which expression is equivalent to 4z + 5 + 3z? 7z + 5 8z + 4 9z + 5 12z
46	AK		7				0	Subtract. 1/8   -    3/4	- 5/8	- 2/4	2 / 4	5 / 8		Subtract. 1/8   -    3/4 - 5/8 - 2/4  2 / 4  5 / 8
47	AK		7				0	The population of Rock Valley is increasing by 4% each year. The current population is increased by p. The expression 1.04p represents the population next year. Which expression also represents the population of Rcok Valley next year?	p + 0.04	p x 0.04	p x 1.04p	p + 0.04p		The population of Rock Valley is increasing by 4% each year. The current population is increased by p. The expression 1.04p represents the population next year. Which expression also represents the population of Rcok Valley next year? p + 0.04 p x 0.04 p x 1.04p p + 0.04p
48	AK		7				0	Multiply. - 2.1 x 6.3	-1.89	-13.23	-18.9	-132.3		Multiply. - 2.1 x 6.3 -1.89 -13.23 -18.9 -132.3
49	AK		7				0	Jay gets paid $30 a day plus $15 per driveway that he shovels that day. An expression for his daily earnings is 30 + 15d, where d represents the number of driveways he shovels in a day. If he earned $90 in a day, how many driveways did he shovel that day?	3	4	6	8		Jay gets paid $30 a day plus $15 per driveway that he shovels that day. An expression for his daily earnings is 30 + 15d, where d represents the number of driveways he shovels in a day. If he earned $90 in a day, how many driveways did he shovel that day? 3 4 6 8
50	AK		7				0	A stack of 4 math books is 6 inches high. How many math books are in a stack that is 24 inches high?	4	10	16	24		A stack of 4 math books is 6 inches high. How many math books are in a stack that is 24 inches high? 4 10 16 24
51	AK		7				0	The probabilities of several events are listed. The chance of a coin landing on heads is 0.50. The chance of rain falling tomorrow is 60%. The chance of rolling a 4 on a six-sided number cube is 1/6. The chance of rolling an even number on a six-sided number cube is 1/2. Which event is most likely to occur?	a coin landing on heads	rain falling tomorrow	rolling a 4 on a six-sided number cube	rolling an even number on a six-sided number cube		The probabilities of several events are listed. The chance of a coin landing on heads is 0.50. The chance of rain falling tomorrow is 60%. The chance of rolling a 4 on a six-sided number cube is 1/6. The chance of rolling an even number on a six-sided number cube is 1/2. Which event is most likely to occur? a coin landing on heads rain falling tomorrow rolling a 4 on a six-sided number cube rolling an even number on a six-sided number cube
52	AK		7				0	A circular tabletop has a diameter of 40 inches. What is the area, in square inches, of the circular tabletop?	40  π	400  π	800  π	1,600  π		A circular tabletop has a diameter of 40 inches. What is the area, in square inches, of the circular tabletop? 40  π 400  π 800  π 1,600  π
53	AK		7				0	Geese are tagged and released in a wildlife area. Each year, about 60% of the tagged geese are still living in the same wildlife area. There are an estimated 1,500 geese still living in the wildlife area this year. Based on the data, about how many tagged geese are expected to be living in the wildlife area next year?	600	900	1200	1500		Geese are tagged and released in a wildlife area. Each year, about 60% of the tagged geese are still living in the same wildlife area. There are an estimated 1,500 geese still living in the wildlife area this year. Based on the data, about how many tagged geese are expected to be living in the wildlife area next year? 600 900 1200 1500
54	AK		7				0	Sandy made a scale drawing of the playground. She used the scale of 1 inch = 3 feet. If the length of the playground is 6 inches in Sandy's drawing, what is the actual length of the playground?	2 feet	3 feet	6 feet	18 feet		Sandy made a scale drawing of the playground. She used the scale of 1 inch = 3 feet. If the length of the playground is 6 inches in Sandy's drawing, what is the actual length of the playground? 2 feet 3 feet 6 feet 18 feet
